tweets,classe_ajuste_fino,score_ajuste_fino,tweets_limpos,texto_limpo
56939,Demissão de Augusto Nunes e Caio Coppolla da Jovem Pan acende sinal amarelo. O que houve ou está havendo?,False,0.9772242307662964,"['demissão', 'augusto', 'nunes', 'caio', 'coppolla', 'jovem', 'pan', 'acender', 'sinal', 'amarelo', 'haver', 'haver']",demissão augusto nunes caio coppolla jovem pan acender sinal amarelo haver haver
56940,@marcofeliciano Alguem fechou a torneirinha? Parece que esse pessoal não conseguiu cumprir a missão. Aí é complicado. A emissora deve exibir Pica Pau no horário.,False,0.6140405535697937,"['@marcofeliciano', 'alguem', 'fechar', 'torneirinha', 'pessoal', 'não', 'conseguir', 'cumprir', 'missão', 'complicado', 'emissora', 'exibir', 'pica', 'pau', 'horário']",@marcofeliciano alguem fechar torneirinha pessoal não conseguir cumprir missão complicado emissora exibir pica pau horário
56941,@marcofeliciano @Jrodrigues1954 Vc está no amarelo ainda? Sério?,False,0.946733832359314,"['@marcofeliciano', '@jrodrigues1954', 'vc', 'amarelo', 'sério']",@marcofeliciano @jrodrigues1954 vc amarelo sério
56942,@marcofeliciano Pena que não dá pra demitir Pastor também,False,0.8520185947418213,"['@marcofeliciano', 'pena', 'não', 'pra', 'demitir', 'pastor']",@marcofeliciano pena não pra demitir pastor
56943,@marcofeliciano Fiúza também.,False,0.9961614608764648,"['@marcofeliciano', 'fiúza']",@marcofeliciano fiúza
56944,@marcofeliciano Tutinha mudando de lado,False,0.8974926471710205,"['@marcofeliciano', 'tutinha', 'mudar']",@marcofeliciano tutinha mudar
56945,"@marcofeliciano Você como parte do governo deve saber mais que nós.
O Brasil foi entregue ao comunismo.",False,0.9499762058258057,"['@marcofeliciano', 'governo', '', 'brasil', 'entregar', 'comunismo']",@marcofeliciano governo  brasil entregar comunismo
56946,@marcofeliciano Sinal de que a direita vai ser calada e enterrada,False,0.5471845865249634,"['@marcofeliciano', 'sinal', 'calar', 'enterrar']",@marcofeliciano sinal calar enterrar
56947,"@marcofeliciano ""Nós vamos regulamentar os meios de comunicação"".

- Lula.",False,0.989941418170929,"['@marcofeliciano', 'ir', 'regulamentar', 'meio', 'comunicação', '', 'lula']",@marcofeliciano ir regulamentar meio comunicação  lula
56948,"@marcofeliciano Uma empresa privada fazendo escolha que atendam seus interesses. É o livre mercado, simples.",False,0.9592865705490112,"['@marcofeliciano', 'empresa', 'privado', 'fazer', 'escolha', 'atender', 'interesse', 'livre', 'mercado', 'simples']",@marcofeliciano empresa privado fazer escolha atender interesse livre mercado simples
